Unnamed: 0,encoded_ip,count,time,flintType,encoded_value,requestCnt,encoded_fqdn,family_no
15562,698983623f3565676cff21527219505e.2,1,20200500000000.0,1,bcb83b032de182b80ece5712c129f4d3.1,3,aaa00aaa[aaaaaa]aa[aaaaaa][aaaaaa]aaaa.a.aaa[aaaaaaa].com,0
1044794,ea8fd3fba91b9c8dc632058860f53355.14,2,20200500000000.0,1,ea3fef50decdeb04aaa2706038c9cbed.21,1,aaaaaaa[aaaaaa][aaaaaa][aaaaaa]aaaaa0a.a.aa-aaa[aaaa].org,0
743108,698983623f3565676cff21527219505e.6,1,20200400000000.0,1,ac309aed621b21d82135fce35af1ddae.65,1,aaaaaa[aaaaaa][aaaaaa][aaaaaa][aaaaaa]aa.a.aa-aaa[aaaa].org,0
51266,ad92a59bae8ebd922f771145441d6759.22,1,20200500000000.0,1,fb61fa95e5e3f2310bffa114e3319759.73,90,aaa00a00.[aaaa]aaa.com,0
747921,698983623f3565676cff21527219505e.1,1,20200500000000.0,1,3dcf1361b1832c16603fa4d44f8c17d0.39,1,aaaaaa[aaaaaa][aaaaaa][aaaaaa][aaaaaa]aa.a.aa-aaa[aaaa].org,0
229551,698983623f3565676cff21527219505e.1,1,20200300000000.0,1,cad5ef254250109902a5fdf93514f4ad.1,1,aaaaaaaa[aaaaaa][aaaaaa][aaaaaa]aaaa0a.a.aa-aaa[aaaa].org,0
718963,698983623f3565676cff21527219505e.1,3,20200400000000.0,1,365b91f03fd9b91ea8d1613b1372da9e.20,1,aaaaaaaa[aaaaaa][aaaaaa][aaaaaa]aaaaaa.a.aa-aaa[aaaa].org,0
92561,698983623f3565676cff21527219505e.5,3,20200400000000.0,1,35c99e04da2571dd908de710f7e0923f.18,6,aaaaaa[aaaaaa][aaaaaa][aaaaaa][aaaaaa]aa.a.aa-aaa[aaaa].org,0
926230,698983623f3565676cff21527219505e.5,1,20200500000000.0,1,8332328c02043e841d1fc7ff149afa39.200,5,[aaaa]aa[aaaa].net,3
908696,698983623f3565676cff21527219505e.1,1,20200400000000.0,1,8332328c02043e841d1fc7ff149afa39.198,3,[aaaa]aa[aaaa].net,3
557311,495d364120cb3859c8df0c97e21a5dd2.1,2,20200400000000.0,1,d311e07b16648448a4443005e4d3eacf.192,1,aaaaaa[aaaaaa][aaaaaa][aaaaaa][aaaa]aaa0.a.aa-aaa[aaaa].org,0
533394,698983623f3565676cff21527219505e.2,1,20200500000000.0,1,f91f920a0023105575f86250d3c930a0.145,2,aa.[aaaaaa]a[aaaaaa].com,0
582616,698983623f3565676cff21527219505e.6,1,20200300000000.0,1,e6fc924c307f3f91451b458d1c3c1895.88,1,[aaaaa].000aa.info,0
992000,698983623f3565676cff21527219505e.5,2,20200400000000.0,1,a87acf052de851028de2d0a6c883c487.21,2,aaaaaaa[aaaaaa][aaaaaa][aaaaaa]aaaaa0a.a.aa-aaa[aaaa].org,0
108633,ea8fd3fba91b9c8dc632058860f53355.17,1,20200400000000.0,1,8461346253cf576b7f7de1d2db23ce20.23,1,aaaaaa[aaaaaa][aaaaaa][aaaaaa][aaaaaa]aa.a.aa-aaa[aaaa].org,0
